BSH;BSS CONTAINER AND SHIPPING CO.,LTD;DUBAI;United Arab Emirates
BSI;BLUE SKY INTERMODAL (UK) LTD;Marlow (Buckinghamshir);United Kingdom
BSK;BODEX-UKRAINE LTD;Kremenchuk;Ukraine
BSL;BSL CONTAINERS LIMITED;KOWLOON;Hong Kong, China
BSR;BAL CONTAINER LINE CO LIMITED;Sheung Wan;Hong Kong, China
BSS;BHAVANI SHIPPING SERVICES (I) PVT LTD;NAVI MUMBAI;India
BST;BEST CONTAINERS;PURMEREND;Netherlands
BSU;BEIRUT SHIPPING LLC;DUBAI;United Arab Emirates
BTB;BOX2BUILD SALES B.V.;Delft;Netherlands
BTE;BRUHN TRANSPORT EQUIPMENT GMBH & CO;LUBECK;Germany
BTG;BRENNTAG UK LIMITED;Cheshire CW11 3AE;United Kingdom
BTL;BULK TAINER LOGISTICS;North Yorkshire;United Kingdom
BTN;BRETON CONTAINERS LIMITED;HONG KONG;Hong Kong, China
BTS;BTS TANK SOLUTIONS NV;DOTTIGNIES;Belgium
BTT;DB CARGO BTT GMBH;MAINZ;Germany
BUC;GEORG BUCHNER INTERN. SPEDITION GMBH;FURTH;Germany
BUD;CAMECO CORPORATION;Saskatoon;Canada
BUK;BERTSCHI AG;DUERRENAESCH;Switzerland
BUL;BULKGLOBAL LOGISTICS LTD;LONDON NW10 7DY;United Kingdom
BUR;BAL CONTAINER LINE CO LIMITED;Sheung Wan;Hong Kong, China
BUS;H. BUTEFUHR & SOHN GMBH & CO KG;DUISBURG;Germany
BUT;BROINTERMED LINES LIMITED;HARWICH, CO12 3HH;United Kingdom
BUZ;BUZZATTI TRASPORTI SRL;SEDICO  (BL);Italy
BVH;CRYOGENIC CONTAINER SOLUTIONS B.V.;ROTTERDAM;Netherlands
BVI;STOLT TANK CONTAINERS LEASING LTD;HAMILTON;Bermuda
BVN;BENEVENTI SRL;SASSUOLO (MO);Italy
BWC;BAY LOGISTIK GMBH & CO KG;WAIBLINGEN;Germany
BWL;BLUE WATER LINES PTE LTD;Singapore;Singapore
BWP;LOGISTIKZENTRUM DER BUNDESWEHR;WILHELMSHAVEN;Germany
BWR;ZHEJIANG BETTERWAY SUPPLY CHAIN MANAGEMENT CO., LTD;Jinhua;China
BWT;DAMEN GREEN SOLUTIONS B.V;GORINCHEM;Netherlands
BXA;BOXA SHIPPING LIMITED;Grand Cayman;Cayman Islands
BXI;BOXIT;Aalborg;Denmark
BXL;SICOM S.P.A;CHERASCO (CN);Italy
BXN;BOXMAN ALPHA LTD;Nelson;New Zealand
BXO;STORAGE RENTAL GMBH;Berlin;Germany
BXR;TITAN CONTAINERS A/S;TAASTRUP;Denmark
BXS;BLUE EXPRESS (SHANGHAI) INTL FREIGHT FORWARDING CO.LTD;SHANGHAI;China
BXT;BOXIT;Aalborg;Denmark
BXV;SARL HOMEGREEN -BOX'INNOV;IZON;France
